Warning: {
	Model use is disabled for problem with categorical variables.
} 
Warning: {
	Default anisotropic mesh is disabled with categorical and binary variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	1349	(	2 0 4517.3087512560 2 5468.5554613436 )	54.4117744769 (ExtendedPoll#29)
	1350	(	2 0 4486.5191433627 2 5503.9307555188 )	54.2947627479 (ExtendedPoll#29)
	1351	(	2 0 4439.3520844623 2 5545.8570300970 )	54.2549299012 (ExtendedPoll#29)
	1352	(	2 0 4297.8509077611 2 5671.6358538313 )	54.1955288613 (ExtendedPoll#29)
	1354	(	2 0 4130.1458094486 2 5867.2918018626 )	53.8101176125 (ExtendedPoll#29)
	1365	(	2 0 4128.0235647556 2 5870.5672920640 )	53.7990789831 (ExtendedPoll#29)
	1369	(	2 0 4127.0989211675 2 5872.2886304042 )	53.7915583989 (ExtendedPoll#29)
	1375	(	2 0 4128.1741178860 2 5871.4215637923 )	53.7897866464 (ExtendedPoll#29)
	1378	(	2 0 4127.2012802363 2 5872.4020783721 )	53.7895735461 (ExtendedPoll#29)
	1379	(	2 0 4124.2827672873 2 5875.3436221116 )	53.7889669943 (ExtendedPoll#29)
	1380	(	2 0 4112.6087154913 2 5887.1097970695 )	53.7870326237 (ExtendedPoll#29)
	1393	(	2 0 4112.6224699912 2 5887.2310885676 )	53.7857898087 (ExtendedPoll#29)
	1395	(	2 0 4112.6068429068 2 5887.3521534897 )	53.7848179668 (ExtendedPoll#29)
	1401	(	2 0 4112.6094751875 2 5887.3825571652 )	53.7845139164 (ExtendedPoll#29)
	1405	(	2 0 4112.6011895425 2 5887.3953703748 )	53.7844717434 (ExtendedPoll#29)
	1411	(	2 0 4112.6098291866 2 5887.3889072301 )	53.7844522046 (ExtendedPoll#29)
	1416	(	2 0 4112.6115497632 2 5887.3880840681 )	53.7844440412 (ExtendedPoll#29)
	1423	(	2 0 4112.6117769427 2 5887.3881564070 )	53.7844412964 (ExtendedPoll#29)
	1429	(	2 0 4112.6117384418 2 5887.3882019087 )	53.7844412297 (ExtendedPoll#29)
	1430	(	2 0 4112.6116229393 2 5887.3883384136 )	53.7844410296 (ExtendedPoll#29)
	1434	(	2 0 4112.6116767374 2 5887.3883127527 )	53.7844407736 (ExtendedPoll#29)
	1437	(	2 0 4112.6116387835 2 5887.3883587115 )	53.7844406977 (ExtendedPoll#29)
	1445	(	2 0 4902.1720259844 2 5076.8648367266 )	55.7342800977 (ExtendedPoll#30)
	1446	(	2 0 4608.6881039375 2 5307.4593469062 )	55.4177822439 (ExtendedPoll#30)
	1449	(	2 0 4440.9830056251 2 5503.1152949375 )	54.6903788761 (ExtendedPoll#30)
	1452	(	2 0 4273.2779073126 2 5698.7712429687 )	54.1421759642 (ExtendedPoll#30)
	1453	(	2 0 3937.8677106876 2 6034.1814395937 )	54.1025876908 (ExtendedPoll#30)
	1462	(	2 0 3985.0347695880 2 5992.2551650155 )	54.0228541969 (ExtendedPoll#30)
	1463	(	2 0 4126.5359462891 2 5866.4763412812 )	53.8506010417 (ExtendedPoll#30)
	1473	(	2 0 4130.4392387792 2 5866.5172849087 )	53.8146342551 (ExtendedPoll#30)
	1475	(	2 0 4128.6854867338 2 5870.0111411235 )	53.7981997187 (ExtendedPoll#30)
	1481	(	2 0 4129.0689067457 2 5870.9093419522 )	53.7863749691 (ExtendedPoll#30)
	1494	(	2 0 4129.0636273984 2 5870.9236583107 )	53.7862903829 (ExtendedPoll#30)
	1499	(	2 0 4129.0651471032 2 5870.9311348262 )	53.7862072107 (ExtendedPoll#30)
	1503	(	2 0 4129.0646772976 2 5870.9349204804 )	53.7861763981 (ExtendedPoll#30)
	1509	(	2 0 4129.0641711296 2 5870.9357287432 )	53.7861735204 (ExtendedPoll#30)
	1517	(	2 0 4129.0643025908 2 5870.9356231986 )	53.7861733001 (ExtendedPoll#30)
	1520	(	2 0 4129.0644472731 2 5870.9355366612 )	53.7861727831 (ExtendedPoll#30)
	1525	(	2 0 4129.0644281460 2 5870.9355595157 )	53.7861727456 (ExtendedPoll#30)
	1526	(	2 0 4129.0643707645 2 5870.9356280794 )	53.7861726332 (ExtendedPoll#30)
	1627	(	2 0 4867.2334638359 2 5118.7911113047 )	55.5101747565 (ExtendedPoll#33)
	1628	(	2 0 4468.9338553438 2 5475.1644452187 )	54.7497453707 (ExtendedPoll#33)
	1635	(	2 0 4531.8232672110 2 5468.1767327890 )	54.2937328699 (ExtendedPoll#33)
	1637	(	2 0 4406.0444434766 2 5593.9555565234 )	54.0419580454 (ExtendedPoll#33)
	1638	(	2 0 4028.7079722735 2 5971.2920277265 )	53.7998378556 (ExtendedPoll#33)
	1644	(	2 0 4154.4867960079 2 5845.5132039921 )	53.7918826239 (ExtendedPoll#33)
	1715	(	2 0 4999.9918793150 2 5000.0071042165 )	55.9016755069 (ExtendedPoll#34)
	1716	(	2 0 4999.9675172600 2 5000.0284168659 )	55.9016037165 (ExtendedPoll#34)
	1717	(	2 0 4999.8700690400 2 5000.1136674635 )	55.9013165752 (ExtendedPoll#34)
	1718	(	2 0 4999.4802761598 2 5000.4546698539 )	55.9001683374 (ExtendedPoll#34)
	1719	(	2 0 4997.9211046392 2 5001.8186794156 )	55.8955806263 (ExtendedPoll#34)
	1720	(	2 0 4991.6844185568 2 5007.2747176624 )	55.8773137258 (ExtendedPoll#34)
	1721	(	2 0 4966.7376742271 2 5029.0988706497 )	55.8055960661 (ExtendedPoll#34)
	1722	(	2 0 4866.9506969084 2 5116.3954825988 )	55.5407618647 (ExtendedPoll#34)
	1723	(	2 0 4467.8027876336 2 5465.5819303951 )	54.8617064546 (ExtendedPoll#34)
	1725	(	2 0 4466.8269645111 2 5469.3623920026 )	54.8295561915 (ExtendedPoll#34)
	1726	(	2 0 4463.8994951436 2 5480.7037768250 )	54.7333779337 (ExtendedPoll#34)
	1727	(	2 0 4452.1896176735 2 5526.0693161146 )	54.3527873521 (ExtendedPoll#34)
	1728	(	2 0 4432.0999444382 2 5550.0895775916 )	54.2727755505 (ExtendedPoll#34)
	1729	(	2 0 4371.8309247321 2 5622.1503620228 )	54.0490159101 (ExtendedPoll#34)
	1736	(	2 0 4367.1633511951 2 5628.4010891571 )	54.0259049915 (ExtendedPoll#34)
	1740	(	2 0 4367.4363087119 2 5632.2975577092 )	53.9839463746 (ExtendedPoll#34)
	1752	(	2 0 4367.5173563027 2 5632.3888412069 )	53.9823156833 (ExtendedPoll#34)
	1755	(	2 0 4367.5750698909 2 5632.4087032645 )	53.9816128497 (ExtendedPoll#34)
	1765	(	2 0 4367.5769053809 2 5632.4193356014 )	53.9814889495 (ExtendedPoll#34)
	1770	(	2 0 4367.5805624212 2 5632.4182502476 )	53.9814682147 (ExtendedPoll#34)
	1774	(	2 0 4367.5821046999 2 5632.4171280385 )	53.9814662175 (ExtendedPoll#34)
	1778	(	2 0 4367.5818878523 2 5632.4180567321 )	53.9814586704 (ExtendedPoll#34)
	1792	(	2 0 4367.5819056985 2 5632.4180679393 )	53.9814584017 (ExtendedPoll#34)
	1793	(	2 0 4367.5819346476 2 5632.4180608593 )	53.9814582222 (ExtendedPoll#34)
	1797	(	2 0 4367.5819216978 2 5632.4180774844 )	53.9814581658 (ExtendedPoll#34)
	1803	(	2 0 4367.5819257648 2 5632.4180741356 )	53.9814581645 (ExtendedPoll#34)
	1808	(	2 0 4367.5819244247 2 5632.4180754292 )	53.9814581630 (ExtendedPoll#34)
	1809	(	2 0 4367.5819204043 2 5632.4180793101 )	53.9814581585 (ExtendedPoll#34)
	1810	(	2 0 4367.5819043228 2 5632.4180948339 )	53.9814581405 (ExtendedPoll#34)
	1811	(	2 0 4367.5818399969 2 5632.4181569287 )	53.9814580686 (ExtendedPoll#34)
	1812	(	2 0 4367.5815826929 2 5632.4184053083 )	53.9814577808 (ExtendedPoll#34)
	1813	(	2 0 4367.5805534773 2 5632.4193988263 )	53.9814566296 (ExtendedPoll#34)
	1814	(	2 0 4367.5764366146 2 5632.4233728987 )	53.9814520249 (ExtendedPoll#34)
	1815	(	2 0 4367.5599691638 2 5632.4392691879 )	53.9814336068 (ExtendedPoll#34)
	1816	(	2 0 4367.4940993607 2 5632.5028543451 )	53.9813599484 (ExtendedPoll#34)
	1817	(	2 0 4367.2306201483 2 5632.7571949737 )	53.9810655359 (ExtendedPoll#34)
	1818	(	2 0 4366.1767032985 2 5633.7745574881 )	53.9798914222 (ExtendedPoll#34)
	1819	(	2 0 4361.9610358996 2 5637.8440075457 )	53.9752515834 (ExtendedPoll#34)
	1820	(	2 0 4345.0983663039 2 5654.1218077760 )	53.9576001475 (ExtendedPoll#34)
	1821	(	2 0 4277.6476879210 2 5719.2330086971 )	53.9016513465 (ExtendedPoll#34)
	1823	(	2 0 4277.6290591203 2 5719.2571811144 )	53.9015782727 (ExtendedPoll#34)
	1824	(	2 0 4277.5731727181 2 5719.3296983663 )	53.9013590679 (ExtendedPoll#34)
	1825	(	2 0 4277.3496271092 2 5719.6197673739 )	53.9004824970 (ExtendedPoll#34)
	1826	(	2 0 4276.4554446736 2 5720.7800434043 )	53.8969801836 (ExtendedPoll#34)
	1827	(	2 0 4272.8787149315 2 5725.4211475259 )	53.8830344924 (ExtendedPoll#34)
	1828	(	2 0 4272.2449416972 2 5726.1641037669 )	53.8813532804 (ExtendedPoll#34)
	1829	(	2 0 4270.3436219944 2 5728.3929724899 )	53.8763261624 (ExtendedPoll#34)
	1833	(	2 0 4269.8544309447 2 5729.2382877997 )	53.8723721175 (ExtendedPoll#34)
	1834	(	2 0 4268.9604950773 2 5730.9749800002 )	53.8632736922 (ExtendedPoll#34)
	1845	(	2 0 4268.9281879962 2 5731.0267642928 )	53.8630526551 (ExtendedPoll#34)
	1850	(	2 0 4268.9081672520 2 5731.0497967493 )	53.8630044126 (ExtendedPoll#34)
	1851	(	2 0 4268.8481050197 2 5731.1188941187 )	53.8628597009 (ExtendedPoll#34)
	1855	(	2 0 4268.9130457179 2 5731.0620335227 )	53.8628413313 (ExtendedPoll#34)
	1856	(	2 0 4269.1078678127 2 5730.8914517347 )	53.8627863397 (ExtendedPoll#34)
	1860	(	2 0 4268.9798523367 2 5731.0072720873 )	53.8627858887 (ExtendedPoll#34)
	1861	(	2 0 4268.5958059087 2 5731.3547331451 )	53.8627850104 (ExtendedPoll#34)
	1870	(	2 0 4268.5734598444 2 5731.3755169174 )	53.8627794333 (ExtendedPoll#34)
	1871	(	2 0 4268.5064216515 2 5731.4378682344 )	53.8627627170 (ExtendedPoll#34)
	1872	(	2 0 4268.2382688801 2 5731.6872735026 )	53.8626960762 (ExtendedPoll#34)
	1873	(	2 0 4267.1656577944 2 5732.6848945752 )	53.8624331084 (ExtendedPoll#34)
	1874	(	2 0 4262.8752134514 2 5736.6753788658 )	53.8614387941 (ExtendedPoll#34)
	1875	(	2 0 4245.7134360797 2 5752.6373160280 )	53.8583843412 (ExtendedPoll#34)
	1878	(	2 0 4247.8459166796 2 5750.8801520137 )	53.8564841075 (ExtendedPoll#34)
	1879	(	2 0 4254.2433584792 2 5745.6086599708 )	53.8509013362 (ExtendedPoll#34)
	1891	(	2 0 4254.3648432334 2 5745.5967180794 )	53.8499381914 (ExtendedPoll#34)
	1896	(	2 0 4254.3884937761 2 5745.5774316250 )	53.8499159225 (ExtendedPoll#34)
	1897	(	2 0 4254.4594454040 2 5745.5195722617 )	53.8498491302 (ExtendedPoll#34)
	1904	(	2 0 4254.4747041982 2 5745.5195660142 )	53.8497136099 (ExtendedPoll#34)
	1910	(	2 0 4254.4785171266 2 5745.5196821982 )	53.8496785985 (ExtendedPoll#34)
	1913	(	2 0 4254.4745684192 2 5745.5233580070 )	53.8496778754 (ExtendedPoll#34)
	1914	(	2 0 4254.4627222968 2 5745.5343854333 )	53.8496757065 (ExtendedPoll#34)
	1915	(	2 0 4254.4153378073 2 5745.5784951385 )	53.8496670379 (ExtendedPoll#34)
	1916	(	2 0 4254.2257998495 2 5745.7549339594 )	53.8496324765 (ExtendedPoll#34)
	1917	(	2 0 4253.4676480183 2 5746.4606892429 )	53.8494960362 (ExtendedPoll#34)
	1918	(	2 0 4250.4350406932 2 5749.2837103771 )	53.8489791731 (ExtendedPoll#34)
	1919	(	2 0 4238.3046113928 2 5760.5757949136 )	53.8473747522 (ExtendedPoll#34)
	1921	(	2 0 4237.9514726055 2 5760.9129400964 )	53.8472576934 (ExtendedPoll#34)
	1922	(	2 0 4236.8920562434 2 5761.9243756450 )	53.8469104201 (ExtendedPoll#34)
	1923	(	2 0 4232.6543907954 2 5765.9701178391 )	53.8455799016 (ExtendedPoll#34)
	1924	(	2 0 4215.7037290030 2 5782.1530866154 )	53.8411968855 (ExtendedPoll#34)
	1925	(	2 0 4147.9010818337 2 5846.8849617209 )	53.8388064213 (ExtendedPoll#34)
	1927	(	2 0 4139.4939903168 2 5859.9869225266 )	53.7929039460 (ExtendedPoll#34)
	1931	(	2 0 4134.1713187395 2 5865.6917346274 )	53.7882968215 (ExtendedPoll#34)
	1938	(	2 0 4133.4948958932 2 5866.3963062176 )	53.7879136446 (ExtendedPoll#34)
	1939	(	2 0 4131.4656273543 2 5868.5100209882 )	53.7867806418 (ExtendedPoll#34)
	1949	(	2 0 4131.5933562783 2 5868.3938874275 )	53.7866942837 (ExtendedPoll#34)
	1958	(	2 0 4131.5998202039 2 5868.3898345950 )	53.7866729850 (ExtendedPoll#34)
	1959	(	2 0 4131.6192119808 2 5868.3776760976 )	53.7866090899 (ExtendedPoll#34)
	1967	(	2 0 4131.6209541211 2 5868.3784525807 )	53.7865860060 (ExtendedPoll#34)
	1972	(	2 0 4131.6214166274 2 5868.3783365570 )	53.7865828676 (ExtendedPoll#34)
	1975	(	2 0 4131.6210066099 2 5868.3788719382 )	53.7865816357 (ExtendedPoll#34)
	1981	(	2 0 4131.6209362583 2 5868.3789681750 )	53.7865813838 (ExtendedPoll#34)
	1982	(	2 0 4131.6207252036 2 5868.3792568852 )	53.7865806279 (ExtendedPoll#34)
	1986	(	2 0 4131.6206891940 2 5868.3793043828 )	53.7865805153 (ExtendedPoll#34)
	1992	(	2 0 4131.6206796375 2 5868.3793158160 )	53.7865804962 (ExtendedPoll#34)
	1996	(	2 0 4131.6206768768 2 5868.3793227362 )	53.7865804572 (ExtendedPoll#34)
	2001	(	2 0 4131.6206782642 2 5868.3793214934 )	53.7865804561 (ExtendedPoll#34)
	2003	(	2 0 4131.6206745081 2 5868.3793251876 )	53.7865804560 (ExtendedPoll#34)
	2004	(	2 0 4131.6206632396 2 5868.3793362702 )	53.7865804559 (ExtendedPoll#34)
	2005	(	2 0 4131.6206181660 2 5868.3793806004 )	53.7865804552 (ExtendedPoll#34)
	2006	(	2 0 4131.6204378713 2 5868.3795579212 )	53.7865804528 (ExtendedPoll#34)
	2007	(	2 0 4131.6197166927 2 5868.3802672046 )	53.7865804428 (ExtendedPoll#34)
	2008	(	2 0 4131.6168319783 2 5868.3831043383 )	53.7865804032 (ExtendedPoll#34)
	2009	(	2 0 4131.6052931206 2 5868.3944528729 )	53.7865802452 (ExtendedPoll#34)
	2010	(	2 0 4131.5591376898 2 5868.4398470112 )	53.7865796204 (ExtendedPoll#34)
	2011	(	2 0 4131.3745159668 2 5868.6214235646 )	53.7865772402 (ExtendedPoll#34)
	2012	(	2 0 4130.6360290747 2 5869.3477297782 )	53.7865696199 (ExtendedPoll#34)
	2013	(	2 0 4127.6820815062 2 5872.2529546326 )	53.7865695587 (ExtendedPoll#34)
	2016	(	2 0 4127.6840140147 2 5872.2603352230 )	53.7864835442 (ExtendedPoll#34)
	2017	(	2 0 4127.6898115401 2 5872.2824769939 )	53.7862255016 (ExtendedPoll#34)
	2018	(	2 0 4127.6796235307 2 5872.3112438240 )	53.7860518834 (ExtendedPoll#34)
	2026	(	2 0 4127.6784943469 2 5872.3148875688 )	53.7860284213 (ExtendedPoll#34)
	2027	(	2 0 4127.6750287014 2 5872.3216844082 )	53.7859970553 (ExtendedPoll#34)
	2033	(	2 0 4127.6738721701 2 5872.3232011194 )	53.7859935510 (ExtendedPoll#34)
	2034	(	2 0 4127.6704025761 2 5872.3277512530 )	53.7859830384 (ExtendedPoll#34)
	2040	(	2 0 4127.6704920471 2 5872.3287007212 )	53.7859734249 (ExtendedPoll#34)
	2045	(	2 0 4127.6702519860 2 5872.3291127215 )	53.7859717972 (ExtendedPoll#34)
	2046	(	2 0 4127.6695318024 2 5872.3303487226 )	53.7859669139 (ExtendedPoll#34)
	2052	(	2 0 4127.6693723329 2 5872.3305259594 )	53.7859667262 (ExtendedPoll#34)
	2053	(	2 0 4127.6688939242 2 5872.3310576698 )	53.7859661633 (ExtendedPoll#34)
	2060	(	2 0 4127.6688751072 2 5872.3311142263 )	53.7859658109 (ExtendedPoll#34)
	2062	(	2 0 4127.6689990935 2 5872.3309999936 )	53.7859657384 (ExtendedPoll#34)
	2070	(	2 0 4127.6690021165 2 5872.3309978166 )	53.7859657310 (ExtendedPoll#34)
	2095	(	2 0 4999.9878997345 2 5000.0092959702 )	55.9016794952 (ExtendedPoll#35)
	2096	(	2 0 4999.9515989379 2 5000.0371838810 )	55.9016196708 (ExtendedPoll#35)
	2097	(	2 0 4999.8063957515 2 5000.1487355238 )	55.9013804121 (ExtendedPoll#35)
	2098	(	2 0 4999.2255830062 2 5000.5949420954 )	55.9004239959 (ExtendedPoll#35)
	2099	(	2 0 4996.9023320246 2 5002.3797683814 )	55.8966082342 (ExtendedPoll#35)
	2100	(	2 0 4987.6093280984 2 5009.5190735258 )	55.8815039246 (ExtendedPoll#35)
	2101	(	2 0 4950.4373123937 2 5038.0762941031 )	55.8236448341 (ExtendedPoll#35)
	2102	(	2 0 4801.7492495748 2 5152.3051764124 )	55.6343152023 (ExtendedPoll#35)
	2103	(	2 0 4206.9969982993 2 5609.2207056496 )	55.6253373563 (ExtendedPoll#35)
	2107	(	2 0 4217.9971862258 2 5610.1214654550 )	55.5187948731 (ExtendedPoll#35)
	2108	(	2 0 4250.9977500050 2 5612.8237448711 )	55.2000072940 (ExtendedPoll#35)
	2109	(	2 0 4279.8220637775 2 5600.5952481192 )	55.0710067569 (ExtendedPoll#35)
	2110	(	2 0 4366.2950050949 2 5563.9097578633 )	54.6951789859 (ExtendedPoll#35)
	2114	(	2 0 4393.3723907599 2 5548.1874048965 )	54.6249740689 (ExtendedPoll#35)
	2115	(	2 0 4474.6045477550 2 5501.0203459961 )	54.4266469861 (ExtendedPoll#35)
	2117	(	2 0 4525.2654628702 2 5464.3348557403 )	54.3900963042 (ExtendedPoll#35)
	2123	(	2 0 4514.4563452056 2 5483.6602479286 )	54.2742359116 (ExtendedPoll#35)
	2124	(	2 0 4491.7462798091 2 5505.0601172445 )	54.2385084897 (ExtendedPoll#35)
	2125	(	2 0 4423.6160836196 2 5569.2597251923 )	54.1460338788 (ExtendedPoll#35)
	2126	(	2 0 4151.0952988618 2 5826.0581569833 )	54.0054730693 (ExtendedPoll#35)
	2132	(	2 0 4119.6505929283 2 5880.2129283134 )	53.7862527117 (ExtendedPoll#35)
	2150	(	2 0 4119.5665931846 2 5880.3014995623 )	53.7862021958 (ExtendedPoll#35)
	2151	(	2 0 4119.3145939537 2 5880.5672133090 )	53.7860509080 (ExtendedPoll#35)
	2152	(	2 0 4118.3065970302 2 5881.6300682960 )	53.7854496575 (ExtendedPoll#35)
	2163	(	2 0 4118.3108711544 2 5881.6602849630 )	53.7851316932 (ExtendedPoll#35)
	2171	(	2 0 4118.3198847115 2 5881.6662155602 )	53.7849945777 (ExtendedPoll#35)
	2172	(	2 0 4118.3348277986 2 5881.6631276284 )	53.7848865134 (ExtendedPoll#35)
	2174	(	2 0 4118.3462668702 2 5881.6530292707 )	53.7848751796 (ExtendedPoll#35)
	2183	(	2 0 4118.3455932557 2 5881.6537043543 )	53.7848751047 (ExtendedPoll#35)
	2184	(	2 0 4118.3435724122 2 5881.6557296052 )	53.7848748801 (ExtendedPoll#35)
	2185	(	2 0 4118.3354890381 2 5881.6638306090 )	53.7848739818 (ExtendedPoll#35)
	2186	(	2 0 4118.3031555418 2 5881.6962346240 )	53.7848703922 (ExtendedPoll#35)
	2187	(	2 0 4118.1738215565 2 5881.8258506839 )	53.7848560937 (ExtendedPoll#35)
	2197	(	2 0 4118.1735085463 2 5881.8262104036 )	53.7848556344 (ExtendedPoll#35)
	2198	(	2 0 4118.1725695157 2 5881.8272895629 )	53.7848542566 (ExtendedPoll#35)
	2207	(	2 0 4118.1726545887 2 5881.8272060557 )	53.7848542498 (ExtendedPoll#35)
	2208	(	2 0 4118.1729098077 2 5881.8269555344 )	53.7848542294 (ExtendedPoll#35)
	2209	(	2 0 4118.1739306837 2 5881.8259534489 )	53.7848541479 (ExtendedPoll#35)
	2210	(	2 0 4118.1780141879 2 5881.8219451070 )	53.7848538220 (ExtendedPoll#35)
	2226	(	2 0 4118.1780093963 2 5881.8219592167 )	53.7848537356 (ExtendedPoll#35)
	2227	(	2 0 4118.1779950216 2 5881.8220015460 )	53.7848534763 (ExtendedPoll#35)
	2234	(	2 0 4118.1779947385 2 5881.8220052606 )	53.7848534446 (ExtendedPoll#35)
	2249	(	2 0 4168.4622208673 2 5740.6975175468 )	54.6654457702 (ExtendedPoll#36)
	2250	(	2 0 3937.8677106876 2 6034.1814395937 )	54.1025876908 (ExtendedPoll#36)
	2258	(	2 0 3968.8756845943 2 6029.8141193251 )	53.8471893590 (ExtendedPoll#36)
	2266	(	2 0 3966.3440036262 2 6032.7893562581 )	53.8453293272 (ExtendedPoll#36)
	2272	(	2 0 3967.2852805629 2 6032.5287671287 )	53.8387026417 (ExtendedPoll#36)
	2275	(	2 0 3966.9613567598 2 6032.8941676795 )	53.8385991104 (ExtendedPoll#36)
	2276	(	2 0 3965.9895853505 2 6033.9903693319 )	53.8382928991 (ExtendedPoll#36)
	2288	(	2 0 3966.0039197226 2 6033.9851390276 )	53.8382028409 (ExtendedPoll#36)
	2289	(	2 0 3966.0291479677 2 6033.9679675607 )	53.8381131770 (ExtendedPoll#36)
	2295	(	2 0 3966.0378553973 2 6033.9615960721 )	53.8380860741 (ExtendedPoll#36)
	2307	(	2 0 3966.0380469160 2 6033.9618735742 )	53.8380818691 (ExtendedPoll#36)
	2312	(	2 0 3966.0381004053 2 6033.9618472758 )	53.8380815916 (ExtendedPoll#36)
	2317	(	2 0 3966.0381302064 2 6033.9618470067 )	53.8380813128 (ExtendedPoll#36)
	2322	(	2 0 3966.0381451069 2 6033.9618471499 )	53.8380811710 (ExtendedPoll#36)
	2327	(	2 0 3966.0381513080 2 6033.9618430199 )	53.8380811481 (ExtendedPoll#36)
	2329	(	2 0 3966.0381381930 2 6033.9618595149 )	53.8380811293 (ExtendedPoll#36)
	2334	(	2 0 3966.0381418784 2 6033.9618557502 )	53.8380811271 (ExtendedPoll#36)
	2335	(	2 0 3966.0381529347 2 6033.9618444560 )	53.8380811204 (ExtendedPoll#36)
	2336	(	2 0 3966.0381971599 2 6033.9617992793 )	53.8380810935 (ExtendedPoll#36)
	2337	(	2 0 3966.0383740607 2 6033.9616185725 )	53.8380809858 (ExtendedPoll#36)
	2338	(	2 0 3966.0390816638 2 6033.9608957451 )	53.8380805552 (ExtendedPoll#36)
	2339	(	2 0 3966.0419120761 2 6033.9580044356 )	53.8380788327 (ExtendedPoll#36)
	2340	(	2 0 3966.0532337255 2 6033.9464391976 )	53.8380719433 (ExtendedPoll#36)
	2341	(	2 0 3966.0985203229 2 6033.9001782457 )	53.8380443936 (ExtendedPoll#36)
	2342	(	2 0 3966.2796667126 2 6033.7151344380 )	53.8379343190 (ExtendedPoll#36)
	2343	(	2 0 3967.0042522715 2 6032.9749592074 )	53.8374960138 (ExtendedPoll#36)
	2344	(	2 0 3969.9025945070 2 6030.0142582847 )	53.8357746693 (ExtendedPoll#36)
	2345	(	2 0 3981.4959634492 2 6018.1714545940 )	53.8293988351 (ExtendedPoll#36)
	2346	(	2 0 4027.8694392178 2 5970.8002398312 )	53.8120165816 (ExtendedPoll#36)
	2348	(	2 0 4027.8996279793 2 5970.7957732839 )	53.8117751288 (ExtendedPoll#36)
	2349	(	2 0 4027.9901942637 2 5970.7823736422 )	53.8110507797 (ExtendedPoll#36)
	2350	(	2 0 4028.3524594017 2 5970.7287750751 )	53.8081535202 (ExtendedPoll#36)
	2351	(	2 0 4028.5782890972 2 5970.8215646372 )	53.8052259801 (ExtendedPoll#36)
	2352	(	2 0 4029.0659874104 2 5970.8447020517 )	53.8004791353 (ExtendedPoll#36)
	2360	(	2 0 4029.1224148462 2 5970.8679660822 )	53.7997469853 (ExtendedPoll#36)
	2368	(	2 0 4029.1289146169 2 5970.8639709871 )	53.7997219690 (ExtendedPoll#36)
	2372	(	2 0 4029.1327113864 2 5970.8636015775 )	53.7996898997 (ExtendedPoll#36)
	2377	(	2 0 4029.1345329350 2 5970.8641672091 )	53.7996679124 (ExtendedPoll#36)
	2379	(	2 0 4029.1361890843 2 5970.8632210851 )	53.7996608999 (ExtendedPoll#36)
	2385	(	2 0 4029.1366590260 2 5970.8631402857 )	53.7996572423 (ExtendedPoll#36)
	2389	(	2 0 4029.1368554851 2 5970.8630052034 )	53.7996566135 (ExtendedPoll#36)
	2390	(	2 0 4029.1372198865 2 5970.8626976562 )	53.7996559536 (ExtendedPoll#36)
	2401	(	2 0 4029.1372434032 2 5970.8627159631 )	53.7996555720 (ExtendedPoll#36)
	2402	(	2 0 4029.1372160758 2 5970.8627689341 )	53.7996553557 (ExtendedPoll#36)
	2408	(	2 0 4029.1372107574 2 5970.8627828538 )	53.7996552815 (ExtendedPoll#36)
	2411	(	2 0 4029.1372020883 2 5970.8627949737 )	53.7996552545 (ExtendedPoll#36)
	2415	(	2 0 4029.1371973626 2 5970.8628007338 )	53.7996552473 (ExtendedPoll#36)
	2422	(	2 0 4029.1371969852 2 5970.8628025579 )	53.7996552346 (ExtendedPoll#36)
	2424	(	2 0 4029.1372006890 2 5970.8627988111 )	53.7996552334 (ExtendedPoll#36)
	2425	(	2 0 4029.1372118001 2 5970.8627875709 )	53.7996552298 (ExtendedPoll#36)
	2426	(	2 0 4029.1372562449 2 5970.8627426102 )	53.7996552156 (ExtendedPoll#36)
	2427	(	2 0 4029.1374340239 2 5970.8625627674 )	53.7996551585 (ExtendedPoll#36)
	2428	(	2 0 4029.1381451401 2 5970.8618433959 )	53.7996549302 (ExtendedPoll#36)
	2429	(	2 0 4029.1409896047 2 5970.8589659099 )	53.7996540170 (ExtendedPoll#36)
	2430	(	2 0 4029.1523674632 2 5970.8474559659 )	53.7996503647 (ExtendedPoll#36)
	2431	(	2 0 4029.1978788972 2 5970.8014161900 )	53.7996357631 (ExtendedPoll#36)
	2432	(	2 0 4029.3799246331 2 5970.6172570866 )	53.7995774796 (ExtendedPoll#36)
	2433	(	2 0 4030.1081075767 2 5969.8806206727 )	53.7993463077 (ExtendedPoll#36)
	2434	(	2 0 4033.0208393511 2 5966.9340750174 )	53.7984530101 (ExtendedPoll#36)
	2435	(	2 0 4044.6717664489 2 5955.1478923961 )	53.7953815270 (ExtendedPoll#36)
	2436	(	2 0 4091.2754748399 2 5908.0031619108 )	53.7910882360 (ExtendedPoll#36)
	2439	(	2 0 4091.3024169829 2 5908.0174949293 )	53.7907097823 (ExtendedPoll#36)
	2440	(	2 0 4091.3832434122 2 5908.0604939849 )	53.7895744291 (ExtendedPoll#36)
	2441	(	2 0 4091.7065491291 2 5908.2324902073 )	53.7850331320 (ExtendedPoll#36)
	2444	(	2 0 4091.7062625770 2 5908.2935241345 )	53.7844786297 (ExtendedPoll#36)
	2461	(	2 0 4091.7061814853 2 5908.2937483387 )	53.7844773284 (ExtendedPoll#36)
	2468	(	2 0 4091.7061774429 2 5908.2938078061 )	53.7844768227 (ExtendedPoll#36)
